Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
2813,Anjing keluar untuk menghancurkan dunia.,Anjing adalah teman terbaik manusia.,Anjing tidak berencana untuk menghancurkan dunia.,Dunia tidak bisa dihancurkan oleh anjing.,Anjing tidak bisa menghancurkan dunia.,Anjing memiliki pertemuan untuk membahas rencana.,Dunia mencari anjing.
2815,stasiun bus adalah tempat Anda menemukan balon,stasiun bus adalah tempat Anda menemukan bus,stasiun bus dibuat untuk bus,Balon tidak dapat ditemukan di stasiun bus,Balon tidak ditemukan di stasiun bus mana pun.,bus tidak bisa terbang seperti balon,balon tidak bisa berhenti di stasiun bus
2817,Bumi adalah bintang,Matahari adalah bintang,Planet bukan bintang dan bumi adalah planet,Bumi adalah sebuah planet.,bumi bukan bintang,Matahari ditemukan sangat dekat dengan tepi galaksi,Bintang dan planet berbentuk bulat
2818,Seekor harimau memiliki bintik-bintik.,Seorang dalmatian memiliki bintik-bintik.,Harimau memiliki garis-garis.,Seekor harimau hanya memiliki garis-garis tidak bercak,Seekor harimau memiliki strip.,Harimau adalah kucing besar.,Harimau makan daging.
2819,Meja terbuat dari bulu,Meja itu terbuat dari kayu,Bulu tidak akan tinggal bersama untuk membuat meja,Bulu tidak sekuat kayu.,meja hanya untuk kayu bukan untuk bulu,Bulu-bulu adalah warna yang salah,Ada makanan di atas meja
2821,Mereka mendengar cahaya.,Mereka mendengar bel.,Cahaya harus dilihat.,Cahaya tidak bisa didengar.,TIDAK BISA MENDENGAR,Cahaya adalah kebalikan dari gelap.,Cahaya bisa terang.
2822,Pemain makan dengan sepak bola.,Pemain bermain dengan sepakbola.,Bola tidak bisa dimakan.,Pemain tidak bisa makan dengan sepak bola.,Pemain tidak bisa dengan sepakbola,Bola kaki biasanya berbau sampah.,Para pemain tidak memiliki cukup sepakbola untuk berkeliling.
2823,Dinosaurus berada di ambang kepunahan.,Dinosaurus adalah spesies yang punah.,Dinosaurus mati sepuluh juta tahun yang lalu.,Dinosaurus telah punah jutaan tahun yang lalu.,Dinosaurus sudah punah sehingga mereka tidak bisa berada di ambang kepunahan,Dinosaurus sangat imut.,Dinosaurus tidak tahu harus berjalan.
2826,Saya makan jendela.,Aku makan pie.,Windows bukanlah makanan.,Sebuah jendela tidak bisa dimakan dan terlalu besar untuk dimakan,Windows tidak dapat dikonsumsi dan tidak dapat dimakan,Sebuah kue bulat dan jendela memiliki kaca.,Kue tidak bisa makan sendiri.
2827,memanjat gunung membutuhkan sebuah apel,mendaki gunung membutuhkan kebugaran fisik,tidak ada hubungan logis antara mendaki gunung dan memiliki sebuah apel,Sebuah apel sama sekali tidak membantu ketika mendaki gunung,Tidak ada makanan khusus yang perlu Anda makan saat mendaki gunung.,apel berwarna merah saat gunung miring,gunung tidak bisa makan apel
2829,Dia menyeduh anak-anaknya dan menambahkan gula dan susu,Dia menyeduh kopinya dan menambahkan gula dan susu,Anak-anak adalah manusia dan tidak dapat diseduh seperti kopi,Anak-anak tidak bisa diseduh olehnya.,Anak-anak bukan minuman untuk diseduh.,Anak-anak tidak tetap anak-anak seluruh hidup mereka,Kopi mengandung kafein yang dapat meningkatkan denyut jantung
2830,Dia membawa seekor gajah.,Dia membawa cangkir.,Seekor gajah terlalu besar untuk dibawa.,Gajah harus berat untuk dibawa.,Seekor gajah terlalu berat untuk dibawa.,Gajah memiliki belalai.,Seekor gajah memiliki telinga besar.
2832,Ayah saya menyuruh saya belajar keras untuk mendapatkan pisang besar.,Ayah saya mengatakan kepada saya untuk belajar keras untuk mendapatkan nilai yang baik.,Pisang tidak terkait dengan upaya penelitian.,setelah belajar keras kamu mendapat nilai bagus bukan pisang besar.,Memiliki pisang besar bukanlah hasil langsung dari belajar dengan giat.,Nilai bagus diberikan saat Anda makan pisang.,Ayah saya makan banyak pisang.
2833,Dia melompat dan gravitasi mendorongnya ke udara.,Dia melompat dan gravitasi menariknya kembali ke tanah.,Gravitasi hanya menarik hal-hal ke bumi tidak naik ke udara.,Gravitasi menarik Anda ke bawah dan tidak mendorong Anda ke atas.,Gravitasi tidak mendorongnya ke udara.,Ketika dia melompat turun gravitasi menariknya ke bawah juga.,Di bulan gravitasi akan menariknya ke bawah lebih lambat.
2834,Dia makan sebotol.,Dia makan taco.,Botol tidak bisa dimakan.,botol tidak bisa dimakan,Botol terbuat dari bahan yang tidak bisa dimakan.,Botol dapat terbuat dari kaca.,Botol digunakan untuk menyimpan barang.
2837,Emas adalah bahan buatan manusia.,Baja adalah bahan buatan manusia.,Emas terjadi secara alami.,Emas adalah elemen semua elemen semua didahului umat manusia.,Emas adalah unsur kimia dan tidak dibuat oleh manusia.,Emas itu mahal.,"Emas bisa berwarna kuning, putih, atau mawar."
2838,Mereka membakar pohon apel,Mereka membuat pai apel,Pohon apel lebih besar dari oven,pohon tidak bisa dipanggang itu tidak akan muat di oven,Anda tidak harus memanggang pohon.,Oven tidak terbuat dari pohon apel,Cabang pohon apel dapat terbakar dalam oven
2839,Dia menyaksikan pertunjukan di singa,Dia menonton pertunjukan di tv,Tidak mungkin menonton sesuatu di singa,Seekor singa adalah binatang,singa bukanlah tv untuk ditonton,Singa adalah pelari yang hebat tetapi TV dihidupkan oleh listrik,Sebuah TV menunjukkan sesuatu sementara seekor singa makan banyak
2840,Sapi mengunyah air,Sapi mengunyah makanan,Air tidak dapat dikunyah,Airnya tidak padat dan tidak bisa dikunyah.,Air tidak bisa dikunyah.,Makanan padat dan air cair,Sapi tidak bisa mengunyah air
2841,Seekor kura-kura memanjat pohon,Seekor monyet memanjat pohon,kura-kura tidak bisa memanjat apapun,Kura-kura tidak bisa memanjat.,Seekor kura-kura tidak memiliki kemampuan untuk memanjat.,Kura-kura itu berat tetapi monyet bisa melompat,"Monyet hidup di hutan, tetapi kura-kura adalah perenang hebat"
2842,Ada sebuah sekolah di dalam kaleng,Ada soda di kaleng,Sebuah sekolah tidak bisa masuk dalam kaleng,Sebuah sekolah terlalu besar untuk bisa masuk ke dalam kaleng.,sekolah bukan soda,Sekolah memiliki tembok sementara soda tidak,Sekolah memiliki siswa
2843,Gadis itu makan batu untuk makan siang.,Gadis itu makan sandwich untuk makan siang.,Tidak ada yang makan batu untuk makanan.,Batuan tidak bisa dimakan.,Batu bukan makanan dan itu keras dan akan merusak gigi Anda.,Batuan biasanya berwarna abu-abu sementara sandwich berwarna putih.,Batu tidak bisa makan makanan.
2844,Dia makan batu besar,Dia berjalan di sekitar batu besar,Orang tidak bisa makan batu.,Batuan tidak dimaksudkan untuk dimakan tetapi beberapa kali digunakan untuk konstruksi setelah dihancurkan,Sebuah batu tidak bisa dimakan.,Batu tidak bisa melahirkan.,Berjalan menggunakan lebih sedikit kalori daripada push-up.
2845,Pria itu membeli beberapa apel dari kamar mandi.,Pria itu membeli beberapa apel dari toko kelontong.,Kamar mandi adalah untuk menggunakan toilet dan mandi tidak menjual apel.,kamar mandi bukanlah toko kelontong untuk membeli apel,Apel dibeli dari toko bukan dari kamar mandi,Kamar mandi memiliki wastafel dan apel tidak tumbuh dari wastafel.,Kamar mandi biasanya memiliki cermin tetapi sebuah apel tidak memiliki cermin di atasnya.
2846,Selembar kertas berbentuk lingkaran.,Seperempat lingkaran.,Selembar kertas berbentuk persegi panjang.,Sepotong kertas terkoyak.,Kertas berbentuk persegi panjang.,Kertas digunakan untuk banyak hal.,Kertas berasal dari pohon.
2847,Kebahagiaan adalah faktor yang sangat diperlukan untuk melakukan fotosintesis.,Cahaya adalah faktor yang sangat diperlukan untuk melakukan fotosintesis.,Tanaman tidak memiliki perasaan.,Kebahagiaan bukanlah faktor yang sangat diperlukan untuk melakukan fotosintesis.,"Kebahagiaan adalah semacam perasaan, bukan untuk fotosintesis.",Kebahagiaan adalah sesuatu yang tak tersentuh.,Anda membutuhkan kebahagiaan dalam hidup Anda.
2849,Dia bermain kulkas.,Dia memainkan bola.,Seseorang tidak bisa bermain kulkas.,kulkas adalah alat di dapur bukan game,Kulkas bukan permainan yang bisa dimainkan.,Lemari es tidak bisa menjadi subjek permainan.,Pria itu gila.
2850,Dia minum batu.,Dia minum susu.,Batu tidak cair.,Batu adalah benda padat,"Batu tidak dapat diminum, karena sangat sulit",Batu itu keras.,Batuan ada di alam.
2853,Dia mengisi teleponnya dengan bunga,Dia mengisi daya ponselnya dengan charger,bunga tidak memiliki kabel atau kemampuan listrik,Bunga tidak menghasilkan listrik.,Bunga tidak mungkin memberikan energi untuk mengisi daya ponsel.,pengisi daya tanpa aroma sementara bunga memiliki aroma menyegarkan,pengisi daya tidak menghasilkan oksigen sedangkan bunga tidak
2854,Dia membiarkan bayinya mengendarai mobil.,Dia membiarkan istrinya mengendarai mobilnya.,Bayi tidak tahu cara mengemudi mobil.,adalah ilegal untuk membiarkan bayi mengendarai mobil karena mereka tidak mampu melakukannya,Seorang bayi tidak bisa mengendarai mobil.,Bayi biasanya menangis sedangkan istri tidak.,Bayi tidak bisa mencapai pedal.
2857,kubis adalah untuk menjaga kuku Anda tetap terkendali,gunting untuk menjaga kuku Anda tetap terkendali,kol terlalu lunak untuk mengatur kuku,"Kubis adalah sayuran, bukan untuk memotong kuku",Kubis tidak digunakan untuk perawatan kuku.,kubis berwarna hijau sedangkan kuku clipper berwarna merah muda,kuku mengelola gunting
2858,panekuk makan aku,Aku makan pancake,"pancake adalah makanan, tidak bisa makan orang",pancake bukan hal yang hidup untuk dimakan,Panekuk tidak bisa makan makanan.,"orang-orang kecerdasan, pancake no ...","orang suka pancake, tapi pancake tidak mencintai orang"
2859,"Gunting adalah alat yang digunakan untuk mencuci kain, kertas, dan bahan lainnya","Gunting adalah alat yang digunakan untuk memotong kain, kertas, dan bahan lainnya",Dengan gunting hal-hal yang tidak dapat dicuci,Tidak ada yang bisa dicuci dengan gunting karena tidak bisa membersihkan apa pun.,gunting adalah benda logam tajam,Gunting dapat dilihat di sebagian besar rumah,Gunting punya aplikasi dalam berbagai kebutuhan
2861,Saya menaruh ham di kaki saya,Saya memakai sepatu,Ham tidak bisa muat di kakiku,"Anda makan ham, bukan memakainya.",Ham tidak bisa berdiri sendiri.,Ham dan kaki keduanya memiliki kulit,Ham dan kaki keduanya menjadi dingin
2862,Daun pohon itu membiru.,Daun pohon itu telah berubah warna menjadi coklat.,Pohon tidak pernah memiliki daun biru.,Tidak ada fenomena alam di mana daun pohon berubah dari hijau menjadi biru.,Daun pohon tidak berubah biru karena daun pohon tidak pernah berubah menjadi biru,Pohon dapat memiliki daun ungu.,Pohon dapat memiliki daun magenta.
2863,Johny makan malam dari botol,Johny makan malam dari piring,"Anda tidak bisa makan makanan dari botol, pembukaannya terlalu kecil.",Makan malam tidak bisa dimasukkan ke dalam botol.,Makan malam tidak bisa disajikan dalam botol.,Beberapa orang membutuhkan makanan mereka untuk dicampur agar mereka dapat meminumnya,Smoothie dapat memiliki banyak manfaat nutrisi seperti yang Anda dapatkan dari makan malam
2864,Saya suka memakai apel,Saya suka memakai topi,Apel adalah makanan dan tidak bisa dipakai,Anda tidak bisa memakai apel.,"Apel adalah untuk dimakan, bukan untuk dipakai.",Apel merah tapi pakaian biru,Apel rasanya enak
2867,Aku makan sebuah lagu.,Aku menyanyikan sebuah lagu.,Lagu tidak dapat dimakan.,Lagu tidak berwujud dan tidak bisa dimakan.,Anda tidak dapat makan musik.,Lagu-lagu ditulis.,Lagu dapat dimainkan dengan instrumen.
2868,Dia melewati bola bowling sejauh yang dia bisa.,Dia melewati sepakbola sejauh yang dia bisa.,Bola bowling terlalu berat untuk dilemparkan.,Melalui bukanlah penggunaan kata yang tepat.,Bola bowling terlalu berat untuk dilemparkan.,Bola bowling tidak sama dengan sepak bola ..,Anda bisa menendang bola lebih jauh dari bola bowling.
2870,Dia menulis dengan sebuah buku,Dia menulis dengan pena.,"Anda membaca buku, anda tidak bisa menulis dengan mereka",Buku tidak memiliki tinta untuk digunakan sebagai alat tulis,Sebuah buku tidak memiliki tinta sehingga tidak dapat digunakan sebagai alat tulis.,Buku memiliki halaman,Buku-buku memiliki kata-kata di dalamnya
2871,Saya ingin membaca pizza itu,Saya ingin membaca buku itu,Pizza tidak dapat dibaca,Pizza tidak bisa dibaca.,pizza bisa dimakan tidak dibaca,Anda tahu cara membaca 5 potong pizza,Anda dapat membaca buku tetapi pizza tidak berjalan
2874,Dia memasak keripik untuk makan malam.,Dia memasak potongan ayam untuk makan malam.,Sandles adalah alas kaki yang tidak boleh dimakan.,Anda tidak memasak keripik.,Sandles adalah barang pakaian dan tidak bisa dimakan.,Ayam adalah makanan yang sangat tinggi protein.,Sandles adalah alas kaki musim panas.
2876,Tanah jatuh dari pohon.,Daun jatuh dari pohon ke tanah.,Sebatang pohon ditanam di tanah.,THE GROUND TIDAK MENJADI DARI POHON,tanahnya sudah rendah dan tidak bisa jatuh.,Daun berubah warna di musim gugur.,Tanahnya rendah dan pohonnya tinggi.
2878,Kulkas tumbuh di kebun.,Jagung tumbuh di kebun.,Kulkas tidak bisa tumbuh.,REFRIGERATOR BUKAN JAGUNG,Lemari es tidak tumbuh.,Jagung dapat disimpan di lemari es.,Tidak ada tempat untuk memasang kulkas di kebun.
2879,"Adikku dan aku pergi ke restoran, dia memesan pemutih","Adikku dan aku pergi ke restoran, dia memesan jus","Pemutih sangat berbahaya, Anda juga tidak bisa memesan pemutih",restoran tidak menyajikan pemutih,Bleach bukan minuman dan tidak dijual di restoran.,Pemutih berwarna putih sedangkan air tidak berwarna,Air lebih sehat daripada pemutih
2880,Para koboi biasa mengendarai kanguru untuk ke mana-mana.,Para koboi biasa menunggang kuda untuk sampai ke mana-mana di Barat Lama.,Kanguru berasal dari Austrlia dan tidak khas Amerika Serikat kecuali kebun binatang.,Kanguru tidak hidup di Barat.,Koboi tidak bisa naik kanguru ke mana-mana.,Crocodile Dundee tidak akan membiarkan koboi mengendarai kanguru.,Kanguru suka kotak.
2881,Sepedanya kehabisan bensin.,Mobilnya kehabisan bensin.,Sepeda tidak menggunakan bensin.,Sepeda tidak menggunakan gas.,Sepeda tidak membutuhkan gas untuk berfungsi.,Sepeda tidak memiliki cukup roda untuk berjalan pada gas.,Sepeda tidak cukup cepat untuk berjalan di gas.
2882,Dia mengayuh sepedanya di danau,Dia mengarungi kapalnya di danau,sepeda tidak bisa berenang di danau,Sepeda akan tenggelam di danau.,sepeda tidak bisa berlayar di danau,sepeda lebih kecil dari danau,sepeda tidak bekerja di danau
2883,Ada delapan sisi kotak.,Ada enam sisi kotak.,Hanya ada enam sisi ke kotak yang benar.,Ada delapan sisi ke segi delapan,Ada enam sisi kotak.,Kotak digunakan untuk pengiriman.,Ups mengirimkan barang dalam kotak.
2884,Dia menaruh pemanggang roti di mesin cuci.,Dia menaruh pakaiannya di mesin cuci.,pemanggang roti adalah alat yang tidak Anda cuci di mesin cuci,Anda tidak mencuci pemanggang roti di mesin cuci.,keduanya akan hancur,pemanggang adalah logam dan mesin cuci adalah logam,tidak bisa pasang pemanggang roti di mesin cuci
2885,Dia mengendarai tornado.,Dia naik kuda.,Tornado adalah cuaca dan tidak bisa dikendarai.,Anda tidak bisa naik Tornado,Tornado bukan benda fisik.,Tornado adalah segitiga.,Tornado itu berbahaya.
2886,Zebra memiliki bintik-bintik.,Macan tutul memiliki bintik-bintik.,Zebra memiliki garis-garis.,Zebra tidak memiliki bintik-bintik.,Zebra tidak memiliki bintik-bintik.,Zebra memiliki kuku.,Zebra hidup dalam kelompok.
2887,Saya akan pergi ke teater malam ini dengan hamster saya.,Saya akan pergi ke teater malam ini bersama suami saya.,Tidak ada yang membawa hamster ke teater.,"Seekor hamster tidak diizinkan di bioskop, itu adalah binatang.",Anda tidak dapat membawa hewan ke teater,Hamster tidak suka teater.,Tidak ada tiket untuk hamster di teater.
2888,Dia makan bir bisa setiap malam untuk bersantai.,Dia minum bir setiap malam untuk bersantai.,Orang tidak bisa makan kaleng.,kaleng bir terbuat dari logam,Bir itu cair.,Bir memiliki alkohol dan kaleng tidak.,Bir sering datang dalam kaleng dan botol.
2889,Monyet itu memanjat udara.,Monyet memanjat pohon.,Monyet tidak bisa naik ke udara karena tidak memiliki bentuk.,Uang tidak bisa naik udara.,Monyet tidak bisa memanjat udara,Monyet itu berwarna cokelat sementara udaranya bersih.,Monyet diketahui berenang tidak memanjat.
2890,dia membuat kursi menggunakan roti dan mayones,dia membuat sandwich menggunakan roti dan mayones,anda tidak membuat kursi dari makanan,"Kursi biasanya terbuat dari kayu atau bahan lain, tetapi bukan makanan.",Kursi tidak bisa dibuat dengan benda yang bisa dimakan seperti roti dan mauonnaise,roti tidak bisa duduk di kursi,anda tidak membuat mayones dari roti
2891,Batu itu menangis ketika terluka.,Bayi itu menangis ketika dia terluka.,Batu tidak memiliki emosi atau perasaan sehingga mereka tidak bisa terluka.,Batu tidak memiliki perasaan.,Batu tidak memiliki perasaan.,Batu adalah benda tanpa kualitas manusia.,Bayi memiliki banyak emosi dan mudah terluka
2892,Dia melihat batu jatuh dari pohon.,Dia melihat dedaunan jatuh dari pohon.,Batu tidak tumbuh di pohon.,Batu tidak jatuh dari pohon.,Batu tidak jatuh dari pohon.,Batu itu lebih berat dari daun.,Batu dapat menghancurkan daun.
2894,memiliki iphone membuat Anda menjadi pecundang,memiliki iphone membuat Anda keren,orang-orang berpikir tinggi tentang iPhone,Iphone tidak membuat anda kalah.,memiliki iphone membuat Anda keren,IPhone memiliki kemampuan koneksi wifi,iPhone bisa berwarna putih atau hitam
2895,Dapur saya memakan saya untuk sarapan di pagi hari.,Saya makan sarapan di dapur saya di pagi hari.,"Dapur saya tidak hidup, tidak makan.",Dapur tidak bisa memakannya untuk sarapan.,Dapur bukan barang yang dimakan.,Banyak orang melewatkan sarapan.,Orang biasanya tidak dimakan untuk sarapan.
2896,Dia melompat di atas air.,Dia melompat di tempat tidurnya.,Dia tidak bisa melompat ke air karena itu cair dan dia akan tenggelam.,"Air tidak memiliki cukup tegangan permukaan untuk dilompati, melainkan dilompati.",Orang bisa melompat ke air tetapi tidak di air,Tempat tidur tersedia dalam berbagai ukuran.,Air sesuai dengan bentuk wadah apa pun yang ada di dalamnya.
2898,Kita perlu lebih banyak es mulai panggangan.,Kami membutuhkan lebih banyak batu bara untuk memulai pemanggang.,Es tidak menghasilkan api yang dibutuhkan untuk menyalakan panggangan.,Es tidak mudah terbakar.,ICE TIDAK COCOK UNTUK MULAI GRILL,Beberapa panggangan menggunakan propana dan es menjadi dingin.,Es akan mencair di atas panggangan.
